name;gruppe;kategorie;kurzname;blz;bic;plz;ort
Sparkasse Uckermark;Sparkasse;;Spk Uckermark Prenzlau;17056060;WELADED1UMP;17291;Prenzlau
Sparkasse Uecker-Randow;Sparkasse;;Sparkasse Uecker-Randow;15050400;NOLADE21PSW;17309;Pasewalk
Sparkasse Uelzen Lüchow-Dannenberg;Sparkasse;;Sparkasse Uelzen Lüchow-Dbg;25850110;NOLADE21UEL;29525;Uelzen
Sparkasse Ulm;Sparkasse;;Sparkasse Ulm;63050000;SOLADES1ULM;89073;Ulm
Sparkasse UnnaKamen;Sparkasse;;Sparkasse UnnaKamen;44350060;WELADED1UNN;59409;Unna
Sparkasse Unstrut-Hainich;Sparkasse;;Sparkasse Unstrut-Hainich;82056060;HELADEF1MUE;99974;Mühlhausen/Thüringen
Sparkasse Vest Recklinghausen;Sparkasse;;Spk Recklinghausen;42650150;WELADED1REK;45608;Recklinghausen
Sparkasse Vogtland;Sparkasse;;Sparkasse Vogtland;87058000;WELADED1PLX;08506;Plauen
Sparkasse Vorderpfalz;Sparkasse;;Sparkasse Vorderpfalz;54550010;LUHSDE6AXXX;67059;Ludwigshafen am Rhein
Sparkasse Vorpommern;Sparkasse;;Spk Vorpommern;15050500;NOLADE21GRW;17462;Greifswald
Sparkasse Vorpommern auf Rügen;Sparkasse;;Spk Vorpommern auf Rügen;13051042;NOLADE21RUE;18525;Bergen auf Rügen
Sparkasse Waldeck-Frankenberg;Sparkasse;;Spk Waldeck-Frankenberg;52350005;HELADEF1KOR;34497;Korbach
Sparkasse Werra-Meißner;Sparkasse;;Sparkasse Werra-Meißner;52250030;HELADEF1ESW;37254;Eschwege
Sparkasse Westerwald-Sieg;Sparkasse;;Sparkasse Westerwald-Sieg;57351030;MALADE51AKI;56470;Bad Marienberg (Westerwald)
Sparkasse Westholstein;Sparkasse;;Spk Westholstein;22250020;NOLADE21WHO;25509;Itzehoe
Sparkasse Westmünsterland;Sparkasse;;Sparkasse Westmünsterland;40154530;WELADE3WXXX;48683;Ahaus
Sparkasse Wetzlar;Sparkasse;;Sparkasse Wetzlar;51550035;HELADEF1WET;35576;Wetzlar
Sparkasse Wiesental;Sparkasse;;Sparkasse Wiesental;68351557;SOLADES1SFH;79650;Schopfheim
Sparkasse Wilhelmshaven;Sparkasse;;Sparkasse Wilhelmshaven;28250110;BRLADE21WHV;26363;Wilhelmshaven
Sparkasse Witten;Sparkasse;;Sparkasse Witten;45250035;WELADED1WTN;58449;Witten
Sparkasse Wittenberg;Sparkasse;;Sparkasse Wittenberg;80550101;NOLADE21WBL;06872;Lutherstadt Wittenberg
Sparkasse Wittgenstein;Sparkasse;;Sparkasse Wittgenstein;46053480;WELADED1BEB;57304;Bad Berleburg
Sparkasse Wolfach;Sparkasse;;Spk Wolfach;66452776;SOLADES1WOF;77705;Wolfach
Sparkasse Zollernalb;Sparkasse;;Spk Zollernalb;65351260;SOLADES1BAL;72334;Balingen
Sparkasse Zwickau;Sparkasse;;Sparkasse Zwickau;87055000;WELADED1ZWI;08009;Zwickau
Sparkasse am Niederrhein;Sparkasse;;Sparkasse am Niederrhein;35450000;WELADED1MOR;47439;Moers
Sparkasse an Ennepe und Ruhr;Sparkasse;;Spk an Ennepe und Ruhr;45450050;WELADED1GEV;58265;Gevelsberg
Sparkasse an Volme und Ruhr;Sparkasse;;Sparkasse an Volme und Ruhr;45050001;WELADE3HXXX;58042;Hagen
Sparkasse an der Lippe;Sparkasse;;Sparkasse an der Lippe;44152370;WELADED1LUN;44530;Lünen
Sparkasse der Stadt Iserlohn;Sparkasse;;Spk der Stadt Iserlohn;44550045;WELADED1ISL;58634;Iserlohn
Sparkasse im Landkreis Cham;Sparkasse;;Spk im Landkreis Cham;74251020;BYLADEM1CHM;93405;Cham
Sparkasse im Landkreis Neustadt a.d. Aisch - Bad Windsheim;Sparkasse;;Sparkasse i. Lkr. NEA-BWI;76251020;BYLADEM1NEA;91413;Neustadt a.d.Aisch
Sparkasse im Landkreis Schwandorf;Sparkasse;;Spk im Landkreis Schwandorf;75051040;BYLADEM1SAD;92408;Schwandorf
Sparkasse zu Lübeck;Sparkasse;;Sparkasse zu Lübeck;23050101;NOLADE21SPL;23547;Lübeck
Stadt-Sparkasse Haan;Sparkasse;;St Spk Haan;30351220;WELADED1HAA;42781;Haan
Stadt-Sparkasse Langenfeld;Sparkasse;;St Spk Langenfeld;37551780;WELADED1LAF;40740;Langenfeld (Rheinland)
Stadt-Sparkasse Solingen;Sparkasse;;St Spk Solingen;34250000;SOLSDE33XXX;42648;Solingen
Städtische Sparkasse Offenbach a.M.;Sparkasse;;Städtische Spk Offenbach;50550020;HELADEF1OFF;63019;Offenbach am Main
Südtiroler Sparkasse Niederlassung München;Sparkasse;;Südt. Sparkasse München;70012600;SUSKDEM1XXX;81371;München
Taunus-Sparkasse;Sparkasse;;Taunus-Sparkasse Bad Hombg;51250000;HELADEF1TSK;61288;Bad Homburg
Vereinigte Sparkasse im Märkischen Kreis;Sparkasse;;Ver Spk Plettenberg;45851020;WELADED1PLB;58816;Plettenberg
Vereinigte Sparkassen Eschenbach i d Opf;Sparkasse;;Ver Spk Eschenbach;75351960;BYLADEM1ESB;92660;Neustadt a.d.Waldnaab
Wartburg-Sparkasse;Sparkasse;;Wartburg-Sparkasse;84055050;HELADEF1WAK;99804;Eisenach
Weser-Elbe Sparkasse;Sparkasse;;Weser-Elbe Sparkasse, BHV;29250000;BRLADE21BRS;27568;Bremerhaven
Abtsgmünder Bank -Raiffeisen-;Volksbank/Raiffeisenbank;;Abtsgmünder Bank;60069673;GENODES1ABR;73453;Abtsgmünd
Allgäuer Volksbank Kempten-Sonthofen;Volksbank/Raiffeisenbank;;Allgäuer Volksbank;73390000;GENODEF1KEV;87416;Kempten (Allgäu)
BVB Volksbank Ndl d Frankfurter Volksbank;Volksbank/Raiffeisenbank;;BVB Volksbank;51861325;GENODEF1BVB;61101;Bad Vilbel
Bankverein Werther Zw Ndl der VerbundVolksbank OWL;Volksbank/Raiffeisenbank;;Bankv.Werther ZwNdl VV OWL;48021900;DGPBDE3MBVW;33824;Werther (Westf.)
Berliner Volksbank;Volksbank/Raiffeisenbank;;Berliner VB Berlin;10090000;BEVODEBBXXX;10892;Berlin
Bremische Volksbank Weser-Wümme;Volksbank/Raiffeisenbank;;Bremische Volksbank W-W;29190024;GENODEF1HB1;28069;Bremen
Budenheimer Volksbank;Volksbank/Raiffeisenbank;;Budenheimer Volksbank;55061303;GENODE51BUD;55254;Budenheim
Dithmarscher Volks- und Raiffeisenbank;Volksbank/Raiffeisenbank;;Dithmarscher VRB Heide;21890022;GENODEF1DVR;25746;Heide
Dortmunder Volksbank;Volksbank/Raiffeisenbank;;Dortmunder Volksbank;44160014;GENODEM1DOR;44128;Dortmund
Eckernförder Bank Volksbank-Raiffeisenbank;Volksbank/Raiffeisenbank;;Eckernförder Bank VRB;21092023;GENODEF1EFO;24331;Eckernförde
Emsländische Volksbank;Volksbank/Raiffeisenbank;;Emsländische Volksbank;26660060;GENODEF1LIG;49791;Lingen (Ems)
EthikBank, Zndl der Volksbank Eisenberg;Volksbank/Raiffeisenbank;;EthikBank Zndl Vb Eisenberg;83094495;GENODEF1ETK;07607;Eisenberg
Frankfurter Volksbank Rhein-Main;Volksbank/Raiffeisenbank;;Frankfurter Voba Rhein-Main;50190000;FFVBDEFFXXX;60008;Frankfurt am Main
Freisinger Bank Volksbank-Raiffeisenbank;Volksbank/Raiffeisenbank;;Freisinger Bank VB-Raiffbk;70169614;GENODEF1FSR;85354;Freising
Grafschafter Volksbank;Volksbank/Raiffeisenbank;;Grafschafter Volksbank;28069956;GENODEF1NEV;48511;Nordhorn
Hagnauer Volksbank;Volksbank/Raiffeisenbank;;Hagnauer Volksbank;69091200;GENODE61HAG;88709;Hagnau am Bodensee
Hamburger Volksbank;Volksbank/Raiffeisenbank;;Hamburger Volksbank;20190003;GENODEF1HH2;20097;Hamburg
Hannoversche Volksbank;Volksbank/Raiffeisenbank;;Hannoversche Volksbank;25190001;VOHADE2HXXX;30159;Hannover
Harzer Volksbank;Volksbank/Raiffeisenbank;;Harzer Volksbank;80063508;GENODEF1QLB;38855;Wernigerode
Heidenheimer Volksbank;Volksbank/Raiffeisenbank;;Heidenheimer Volksbank;63290110;GENODES1HDH;89504;Heidenheim an der Brenz
Hümmlinger Volksbank;Volksbank/Raiffeisenbank;;Hümmlinger Volksbank;28069381;GENODEF1WLT;49757;Werlte
Ihre Volksbank Neckar Odenwald Main Tauber;Volksbank/Raiffeisenbank;;Ihre Volksbank;67390000;GENODE61WTH;97866;Wertheim
Kieler Volksbank;Volksbank/Raiffeisenbank;;Kieler Volksbank;21090007;GENODEF1KIL;24027;Kiel
Leipziger Volksbank;Volksbank/Raiffeisenbank;;Leipziger Volksbank;86095604;GENODEF1LVB;04109;Leipzig
Oldenburger Volksbank;Volksbank/Raiffeisenbank;;Oldenburger Volksbank;28061822;GENODEF1EDE;26122;Oldenburg (Oldb)
Ostfriesische Volksbank Leer;Volksbank/Raiffeisenbank;;Ostfriesische VB Leer;28590075;GENODEF1LER;26768;Leer (Ostfriesland)
Raiffeisen Volksbank;Volksbank/Raiffeisenbank;;Raiffeisen-VB Schwabenheim;50069842;GENODE51SWB;55270;Schwabenheim an der Selz
Raiffeisen-Bank Eschweiler;Volksbank/Raiffeisenbank;;Raiffeisen-Bank Eschweiler;39362254;GENODED1RSC;52231;Eschweiler
Raiffeisen-Landesbank Steiermark, Niederlassung München;Volksbank/Raiffeisenbank;;RLB Steiermark, München;70013300;RZSTDEM2XXX;80331;München
Raiffeisen-Volksbank;Volksbank/Raiffeisenbank;;RVB Aurich;28562297;GENODEF1UPL;26589;Aurich
Raiffeisen-Volksbank Donauwörth;Volksbank/Raiffeisenbank;;Raiff-VB Donauwörth;72290100;GENODEF1DON;86604;Donauwörth
Raiffeisen-Volksbank Ebersberg;Volksbank/Raiffeisenbank;;Raiff-VB Ebersberg;70169450;GENODEF1ASG;85567;Grafing b. München
Raiffeisen-Volksbank Fresena;Volksbank/Raiffeisenbank;;Raiff-VB Fresena;28361592;GENODEF1MAR;26506;Norden
Raiffeisen-Volksbank Haßberge;Volksbank/Raiffeisenbank;;Raiff-VB Haßberge;79363151;GENODEF1HAS;97437;Haßfurt
Raiffeisen-Volksbank Hermsdorfer Kreuz;Volksbank/Raiffeisenbank;;Raiffbk-VB Hermsdorf;83064488;GENODEF1HMF;07629;Hermsdorf
Raiffeisen-Volksbank Neustadt;Volksbank/Raiffeisenbank;;Raiff-VB Neustadt;25069262;GENODEF1NST;31535;Neustadt am Rübenberge
Raiffeisen-Volksbank Ries;Volksbank/Raiffeisenbank;;Raiffeisen-Volksbank Ries;72069329;GENODEF1NOE;86720;Nördlingen
Raiffeisen-Volksbank Tüßling-Unterneukirchen;Volksbank/Raiffeisenbank;;Raiff-Volksbank Tüßling;70169576;GENODEF1TUS;84577;Tüßling
Raiffeisen-Volksbank Varel-Nordenham;Volksbank/Raiffeisenbank;;Raiff-VB Varel-Nordenham;28064241;GENODEF1NHE;26954;Nordenham
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Bad Doberan;13061128;GENODEF1DBR;18209;Bad Doberan
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Seestermühe;20069144;GENODEF1SST;25371;Seestermühe
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank, Hagenow;20069177;GENODEF1GRS;19230;Hagenow
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffbk Todenbüttel;21464671;GENODEF1TOB;24819;Todenbüttel
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Lauenburg;23063129;GENODEF1RLB;21481;Lauenburg
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Moormerland;28563749;GENODEF1MML;26802;Moormerland
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffbk Grävenwiesbach;50069345;GENODE51GWB;61279;Grävenwiesbach
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffbk Rodenbach Hanau;50663699;GENODEF1RDB;63514;Rodenbach
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Baunatal;52064156;GENODEF1BTA;34217;Baunatal
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffbk Niederwallmenach;57062675;GENODE51NWA;56357;Niederwallmenach
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffbk Erlenbach;60069911;GENODES1ERL;74233;Erlenbach
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffbk Berghülen;60069931;GENODES1BGH;89180;Berghülen
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Mittenwald;70169459;GENODEF1MTW;82481;Mittenwald
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Türkheim;70169575;GENODEF1TRH;86842;Türkheim
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Anger;71062802;GENODEF1AGE;83454;Anger
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Hiltenfingen;72069105;GENODEF1HTF;86856;Hiltenfingen
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Rehling;72069193;GENODEF1RLI;86508;Rehling
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Thannhausen;72069235;GENODEF1THS;86470;Thannhausen
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Wegscheid;74064593;GENODEF1WSD;94108;Wegscheid
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Grainet;74069744;GENODEF1GRT;94143;Grainet
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank Bechhofen;76069378;GENODEF1BEH;91572;Bechhofen
Raiffeisenbank;Volksbank/Raiffeisenbank;;Raiffeisenbank;79069213;GENODEF1RNM;97517;Rannungen
Raiffeisenbank Aichhalden-Hardt-Sulgen;Volksbank/Raiffeisenbank;;Raiffbk Aichh-Hardt-Sulgen;60069553;GENODES1HAR;78739;Hardt
Raiffeisenbank Aidlingen;Volksbank/Raiffeisenbank;;Raiffeisenbank Aidlingen;60069206;GENODES1AID;71134;Aidlingen
Raiffeisenbank Aitrang-Ruderatshofen;Volksbank/Raiffeisenbank;;Raiffbk Aitrang-Ruderatshfn;73369851;GENODEF1AIT;87648;Aitrang
Raiffeisenbank Aldenhoven;Volksbank/Raiffeisenbank;;Raiffeisenbank Aldenhoven;37069103;GENODED1ALD;52449;Aldenhoven
Raiffeisenbank Alteglofsheim-Hagelstadt;Volksbank/Raiffeisenbank;;Raiffbk Alteglofshm-Hagelst;75069055;GENODEF1HGA;93095;Hagelstadt
Raiffeisenbank Altmühl-Jura;Volksbank/Raiffeisenbank;;Raiffeisenbank Altmühl-Jura;76069462;GENODEF1GDG;91171;Greding
Raiffeisenbank Altschweier;Volksbank/Raiffeisenbank;;Raiffeisenbank Altschweier;66261416;GENODE61ALR;77815;Bühl
Raiffeisenbank Aresing-Gerolsbach;Volksbank/Raiffeisenbank;;Raiffbk Aresing-Gerolsbach;72169080;GENODEF1GSB;85302;Gerolsbach
Raiffeisenbank Arnstorf;Volksbank/Raiffeisenbank;;Raiffeisenbank Arnstorf;74361211;GENODEF1ARF;94424;Arnstorf
Raiffeisenbank Aschau-Samerberg;Volksbank/Raiffeisenbank;;Raiffbk Aschau-Samerberg;71162804;GENODEF1ASU;83226;Aschau i. Chiemgau
Raiffeisenbank Auerbach-Freihung;Volksbank/Raiffeisenbank;;Raiffbk Auerbach-Freihung;76069369;GENODEF1AUO;91275;Auerbach i.d.OPf.
Raiffeisenbank Augsburger Land West;Volksbank/Raiffeisenbank;;Raiffbk Augsburger Ld West;72069274;GENODEF1ZUS;86441;Zusmarshausen
Raiffeisenbank Bad Homburg Ndl d FrankfurterVB;Volksbank/Raiffeisenbank;;Raiffeisenbank Bad Homburg;50069693;GENODE51BH1;61352;Bad Homburg
Raiffeisenbank Bad Kötzting;Volksbank/Raiffeisenbank;;Raiffeisenbank Bad Kötzting;75069081;GENODEF1KTZ;93444;Bad Kötzting
Raiffeisenbank Bad Saulgau;Volksbank/Raiffeisenbank;;Raiffeisenbank Bad Saulgau;65063086;GENODES1SAG;88343;Bad Saulgau
Raiffeisenbank Bad Windsheim;Volksbank/Raiffeisenbank;;Raiffbk Bad Windsheim;76069372;GENODEF1WDS;91438;Bad Windsheim
Raiffeisenbank Baiertal;Volksbank/Raiffeisenbank;;Raiffeisenbank Baiertal;67262243;GENODE61WIB;69168;Wiesloch
Raiffeisenbank Baisweil-Eggenthal-Friesenried;Volksbank/Raiffeisenbank;;Raiffbk Baisweil-Eggent-Fr;73369871;GENODEF1EGB;87653;Eggenthal
Raiffeisenbank Beuerberg-Eurasburg;Volksbank/Raiffeisenbank;;Raiffbk Beuerberg-Eurasburg;70169333;GENODEF1EUR;82547;Eurasburg
Raiffeisenbank Bidingen;Volksbank/Raiffeisenbank;;Raiffeisenbank Bidingen;73369859;GENODEF1BIN;87651;Bidingen
Raiffeisenbank Biebergrund-Petersberg;Volksbank/Raiffeisenbank;;Raiffbk Biebergrd-Petersbg;53062350;GENODEF1PBG;36094;Petersberg
Raiffeisenbank Bobingen;Volksbank/Raiffeisenbank;;Raiffeisenbank Bobingen;72069036;GENODEF1BOI;86394;Bobingen
Raiffeisenbank Buch-Eching;Volksbank/Raiffeisenbank;;Raiffbk Buch-Eching;74369662;GENODEF1EBV;84174;Eching
Raiffeisenbank Burgebrach-Stegaurach;Volksbank/Raiffeisenbank;;RB Burgebrach-Stegaurach;77062014;GENODEF1BGB;96138;Burgebrach
Raiffeisenbank Böllingertal;Volksbank/Raiffeisenbank;;Raiffbk Böllingertal;60069976;GENODES1BOE;74078;Heilbronn
Raiffeisenbank Bühlertal;Volksbank/Raiffeisenbank;;Raiffbk Bühlertal;60069075;GENODES1RVG;74541;Vellberg
Raiffeisenbank Bühlertal;Volksbank/Raiffeisenbank;;Raiffbk Bühlertal;60069245;GENODES1RVG;74424;Bühlertann
Raiffeisenbank Bütthard-Gaukönigshofen;Volksbank/Raiffeisenbank;;Raiffbk Bütthard-Gaukönigsh;79069031;GENODEF1BHD;97244;Bütthard
Raiffeisenbank Chamer Land;Volksbank/Raiffeisenbank;;Raiffeisenbank Chamer Land;74261024;GENODEF1CHA;93404;Cham
Raiffeisenbank Chiemgau-Nord - Obing;Volksbank/Raiffeisenbank;;Raiffbk Chiemgau-Nord-Obing;70169165;GENODEF1SBC;83119;Obing
Raiffeisenbank Deggendorf-Plattling-Sonnenwald;Volksbank/Raiffeisenbank;;Raiba Deg.-Pla.-Sonnenw.;74160025;GENODEF1DEG;94457;Deggendorf
Raiffeisenbank Denzlingen-Sexau;Volksbank/Raiffeisenbank;;Raiffbk Denzlingen-Sexau;68062105;GENODE61DEN;79211;Denzlingen
Raiffeisenbank Dietersheim und Umgebung;Volksbank/Raiffeisenbank;;Raiffeisenbank Dietersheim;76069410;GENODEF1DIM;91463;Dietersheim
Raiffeisenbank Donau-Heuberg;Volksbank/Raiffeisenbank;;Raiffbk Donau-Heuberg;64361359;GENODES1RDH;78570;Mühlheim an der Donau
Raiffeisenbank DreiFranken;Volksbank/Raiffeisenbank;;Raiffbk DreiFranken;76069602;GENODEF1HSE;91093;Heßdorf
Raiffeisenbank Eichenbühl und Umgebung;Volksbank/Raiffeisenbank;;Raiffbk Eichenbühl u U;79668509;GENODEF1ENB;63928;Eichenbühl
Raiffeisenbank Eifel;Volksbank/Raiffeisenbank;;Raiffbk Eifel Simmerath;37069642;GENODED1SMR;52152;Simmerath
Raiffeisenbank Elbmarsch;Volksbank/Raiffeisenbank;;Raiffbk Elbmarsch Heist;22163114;GENODEF1HTE;25492;Heist
Raiffeisenbank Elsavatal;Volksbank/Raiffeisenbank;;Raiffbk Elsavatal;79665540;GENODEF1EAU;63863;Eschau
Raiffeisenbank Elztal;Volksbank/Raiffeisenbank;;Raiffeisenbank Elztal;66069103;GENODE61ELZ;74832;Elztal
Raiffeisenbank Ems-Vechte;Volksbank/Raiffeisenbank;;Raiffeisenbank Ems-Vechte;28069878;GENODEF1KBL;49777;Klein Berßen
Raiffeisenbank Ersingen;Volksbank/Raiffeisenbank;;Raiffeisenbank Ersingen;66662155;GENODE61ERS;75234;Kämpfelbach
Raiffeisenbank Eschlkam-Lam-Lohberg-Neukirchen b Hl Blut;Volksbank/Raiffeisenbank;;RB Eschlk-Lam-Lohb-Neukirch;75069110;GENODEF1NKN;93453;Neukirchen b.Hl.Blut
Raiffeisenbank Falkenstein-Wörth;Volksbank/Raiffeisenbank;;Raiffbk Falkenstein-Wörth;75069038;GENODEF1FKS;93167;Falkenstein
Raiffeisenbank Flachsmeer;Volksbank/Raiffeisenbank;;Raiffbk Flachsmeer Westover;28562716;GENODEF1WEF;26810;Westoverledingen
Raiffeisenbank Floß;Volksbank/Raiffeisenbank;;Raiffeisenbank Floß;75362039;GENODEF1FLS;92685;Floß
Raiffeisenbank Frankenhardt-Stimpfach;Volksbank/Raiffeisenbank;;Raiffbk Frankenh-Stimpfach;60069442;GENODES1RFS;74597;Stimpfach
Raiffeisenbank Fränkische Schweiz;Volksbank/Raiffeisenbank;;RB Fränkische Schweiz;77365792;GENODEF1HWA;96142;Hollfeld
Raiffeisenbank Gammesfeld;Volksbank/Raiffeisenbank;;Raiffbk Gammesfeld;60069710;GENODES1RGF;74572;Blaufelden
Raiffeisenbank Geiselhöring-Pfaffenberg;Volksbank/Raiffeisenbank;;Raiffbk Geiselhöring-Pfabg;74369088;GENODEF1GPF;94333;Geiselhöring
Raiffeisenbank Geislingen-Rosenfeld;Volksbank/Raiffeisenbank;;Raiffbk Geislingen-Rosenf;60069463;GENODES1RKH;72348;Rosenfeld
Raiffeisenbank Geislingen-Rosenfeld;Volksbank/Raiffeisenbank;;Raiffbk Geislingen-Rosenf;65362499;GENODES1GEI;72349;Geislingen
Raiffeisenbank Gilching;Volksbank/Raiffeisenbank;;Raiffeisenbank Gilching;70169382;GENODEF1GIL;82205;Gilching
Raiffeisenbank Gmund am Tegernsee;Volksbank/Raiffeisenbank;;Raiffeisenbank Gmund am Teg;70169383;GENODEF1GMU;83703;Gmund a. Tegernsee
Raiffeisenbank Goldener Steig - Dreisessel;Volksbank/Raiffeisenbank;;Raiffbk Gold Steig Dreisess;74061101;GENODEF1RGS;94133;Röhrnbach
Raiffeisenbank Grafschaft-Wachtberg;Volksbank/Raiffeisenbank;;Raiffbk Grafschaft-Wachtbg;57762265;GENODED1GRO;53501;Grafschaft
Raiffeisenbank Griesstätt-Halfing;Volksbank/Raiffeisenbank;;Raiffbk Griesstätt-Halfing;70169132;GENODEF1HFG;83128;Halfing
Raiffeisenbank Grimma;Volksbank/Raiffeisenbank;;Raiffeisenbank Grimma;86065483;GENODEF1GMR;04662;Grimma
Raiffeisenbank Gruibingen;Volksbank/Raiffeisenbank;;Raiffbk Gruibingen;60069242;GENODES1RGR;73344;Gruibingen
Raiffeisenbank Gymnich;Volksbank/Raiffeisenbank;;Raiffeisenbank Gymnich;37069322;GENODED1EGY;50374;Erftstadt
Raiffeisenbank Haag-Gars-Maitenbeth;Volksbank/Raiffeisenbank;;Raiffbk Haag-Gars-Maitenb;70169388;GENODEF1HMA;83523;Haag i.OB
Raiffeisenbank Haibach-Obernau;Volksbank/Raiffeisenbank;;Raiffbk Haibach-Obernau;79568518;GENODEF1HAC;63803;Haibach
Raiffeisenbank Hallertau;Volksbank/Raiffeisenbank;;Raiffeisenbank Hallertau;70169693;GENODEF1RHT;84104;Rudelzhausen
Raiffeisenbank Hardt-Bruhrain;Volksbank/Raiffeisenbank;;Raiffbk Hardt-Bruhrain;66062366;GENODE61DET;76704;Dettenheim
Raiffeisenbank Hengersberg-Schöllnach;Volksbank/Raiffeisenbank;;Raiffbk Hengersb-Schöllnach;74161608;GENODEF1HBW;94491;Hengersberg
Raiffeisenbank HessenNord;Volksbank/Raiffeisenbank;;Raiffeisenbank HessenNord;52063550;GENODEF1WOH;34466;Wolfhagen
Raiffeisenbank Hirschau;Volksbank/Raiffeisenbank;;Raiffbk Hirschau;76069486;GENODEF1HSC;92242;Hirschau
Raiffeisenbank Hochfranken West;Volksbank/Raiffeisenbank;;Raiffbk Hochfranken West;77069870;GENODEF1SZF;95236;Stammbach
Raiffeisenbank Hofkirchen-Bayerbach;Volksbank/Raiffeisenbank;;Raiffbk Hofkirchen-Bayerbch;74369068;GENODEF1LWE;84082;Laberweinting
Raiffeisenbank Hohenloher Land;Volksbank/Raiffeisenbank;;Raiffbk Hohenloher Land;60069714;GENODES1IBR;74665;Ingelfingen
Raiffeisenbank Holzkirchen-Otterfing;Volksbank/Raiffeisenbank;;Raiffbk Holzkirchen-Otterf;70169410;GENODEF1HZO;83607;Holzkirchen
Raiffeisenbank Höchberg;Volksbank/Raiffeisenbank;;Raiffeisenbank Höchberg;79063122;GENODEF1HBG;97201;Höchberg
Raiffeisenbank Ichenhausen;Volksbank/Raiffeisenbank;;Raiffeisenbank Ichenhausen;72069119;GENODEF1ICH;89335;Ichenhausen
Raiffeisenbank Isar-Loisachtal;Volksbank/Raiffeisenbank;;Raiffbk Isar-Loisachtal;70169543;GENODEF1HHS;82504;Wolfratshausen
Raiffeisenbank Kaarst;Volksbank/Raiffeisenbank;;Raiffeisenbank Kaarst;37069405;GENODED1KAA;41564;Kaarst
Raiffeisenbank Kaiserstuhl;Volksbank/Raiffeisenbank;;Raiffeisenbank Kaiserstuhl;68063479;GENODE61VOK;79235;Vogtsburg im Kaiserstuhl
Raiffeisenbank Kalbe-Bismark;Volksbank/Raiffeisenbank;;Raiffbk Kalbe-Bismark;81063028;GENODEF1KAB;39624;Kalbe (Milde)
Raiffeisenbank Kastellaun;Volksbank/Raiffeisenbank;;Raiffeisenbank Kastellaun;56061151;GENODED1KSL;56284;Kastellaun
Raiffeisenbank Kieselbronn;Volksbank/Raiffeisenbank;;Raiffeisenbank Kieselbronn;66661329;GENODE61KBR;75249;Kieselbronn
Raiffeisenbank Kirchweihtal;Volksbank/Raiffeisenbank;;Raiffeisenbank Kirchweihtal;73369918;GENODEF1OKI;87666;Pforzen
Raiffeisenbank Kirtorf;Volksbank/Raiffeisenbank;;Raiffeisenbank Kirtorf;50069477;GENODE51KIF;36320;Kirtorf
Raiffeisenbank Knoblauchsland-Bibertgrund;Volksbank/Raiffeisenbank;;Rbk Knoblauchsl-Bibertgrund;76069669;GENODEF1ZIR;90427;Nürnberg
Raiffeisenbank Kreis Kelheim;Volksbank/Raiffeisenbank;;Raiffbk Kreis Kelheim;75069014;GENODEF1ABS;93077;Bad Abbach
Raiffeisenbank Küps-Mitwitz-Stockheim;Volksbank/Raiffeisenbank;;Raiffbk Küps-Mitwitz-Stockh;77069044;GENODEF1KC2;96328;Küps
Raiffeisenbank Landshuter Land;Volksbank/Raiffeisenbank;;Raiffbk Landshuter Land;74362663;GENODEF1ERG;84030;Ergolding
Raiffeisenbank Lech-Donau;Volksbank/Raiffeisenbank;;RB Lech-Donau;72069005;GENODEF1AIL;86676;Ehekirchen
Raiffeisenbank Lechrain;Volksbank/Raiffeisenbank;;Raiffeisenbank Lechrain;70169351;GENODEF1ELB;86925;Fuchstal
Raiffeisenbank Leezen;Volksbank/Raiffeisenbank;;Raiffeisenbank Leezen;23061220;GENODEF1LZN;23816;Leezen
Raiffeisenbank Lorup;Volksbank/Raiffeisenbank;;Raiffeisenbank Lorup;28069935;GENODEF1LRU;26900;Lorup
Raiffeisenbank MEHR;Volksbank/Raiffeisenbank;;Raiffeisenbank MEHR;57069144;GENODED1KAI;56759;Kaisersesch
